hub_id,alignment_id,alignment_label,linked_axis_ids_json,tensor_slice_id,tensor_channel,feature_id,feature_group,source_name,dataset_name,context_member_ids_json,provenance_bundle_id,source_row_index,source_entity_id,source_entity_label,resolved_provenance_bundle_ids_json,resolved_source_row_indices_json,numeric_value,text_value,json_value
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:clinical-translation""]",alignment:gria1|opentargets|opentargets.datatype.clinical|observed|2,observed,opentargets.datatype.clinical,datatype_score,opentargets,glutamatergic_baseline,"[""channel:observed"", ""source:opentargets"", ""dataset:glutamatergic-baseline"", ""disease:mondo-0005090"", ""datatype:clinical"", ""alignment_status:id-consistent""]",opentargets:glutamatergic-baseline,2,ENSG00000155511,GRIA1,"[""opentargets:glutamatergic-baseline""]","[""2""]",0.18021371940088668,,
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:disease-association""]",alignment:gria1|opentargets|opentargets.datatype.genetic-association|observed|2,observed,opentargets.datatype.genetic-association,datatype_score,opentargets,glutamatergic_baseline,"[""channel:observed"", ""source:opentargets"", ""dataset:glutamatergic-baseline"", ""disease:mondo-0005090"", ""datatype:genetic-association"", ""alignment_status:id-consistent""]",opentargets:glutamatergic-baseline,2,ENSG00000155511,GRIA1,"[""opentargets:glutamatergic-baseline""]","[""2""]",0.6556909542615412,,
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:disease-association""]",alignment:gria1|opentargets|opentargets.generic_platform_baseline|observed|2,observed,opentargets.generic_platform_baseline,association_score,opentargets,glutamatergic_baseline,"[""channel:observed"", ""source:opentargets"", ""dataset:glutamatergic-baseline"", ""disease:mondo-0005090"", ""alignment_status:id-consistent""]",opentargets:glutamatergic-baseline,2,ENSG00000155511,GRIA1,"[""opentargets:glutamatergic-baseline""]","[""2""]",0.438360252724,,
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:disease-association""]",alignment:gria1|pgc|pgc.common_variant_support|missingness|absent,missingness,pgc.common_variant_support,association_score,pgc,glutamatergic_prioritized_genes,"[""channel:missingness"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""alignment_status:id-consistent"", ""missingness_kind:source-absent""]",pgc:glutamatergic-prioritized-genes,,,,"[""pgc:glutamatergic-prioritized-genes""]",[],,source_absent,"{""expected_source"": ""pgc"", ""reason"": ""source_absent""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:variant-to-gene""]",alignment:gria1|pgc|pgc.criterion.finemap-priority-gene|missingness|absent,missingness,pgc.criterion.finemap-priority-gene,prioritization_criterion,pgc,glutamatergic_prioritized_genes,"[""channel:missingness"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:finemap-priority-gene"", ""alignment_status:id-consistent"", ""missingness_kind:source-absent""]",pgc:glutamatergic-prioritized-genes,,,,"[""pgc:glutamatergic-prioritized-genes""]",[],,source_absent,"{""expected_source"": ""pgc"", ""reason"": ""source_absent""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:variant-to-gene""]",alignment:gria1|pgc|pgc.criterion.sig-adultfusion|missingness|absent,missingness,pgc.criterion.sig-adultfusion,prioritization_criterion,pgc,glutamatergic_prioritized_genes,"[""channel:missingness"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:sig-adultfusion"", ""alignment_status:id-consistent"", ""missingness_kind:source-absent""]",pgc:glutamatergic-prioritized-genes,,,,"[""pgc:glutamatergic-prioritized-genes""]",[],,source_absent,"{""expected_source"": ""pgc"", ""reason"": ""source_absent""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:variant-to-gene""]",alignment:gria1|pgc|pgc.criterion.smr-priority-gene|missingness|absent,missingness,pgc.criterion.smr-priority-gene,prioritization_criterion,pgc,glutamatergic_prioritized_genes,"[""channel:missingness"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:smr-priority-gene"", ""alignment_status:id-consistent"", ""missingness_kind:source-absent""]",pgc:glutamatergic-prioritized-genes,,,,"[""pgc:glutamatergic-prioritized-genes""]",[],,source_absent,"{""expected_source"": ""pgc"", ""reason"": ""source_absent""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:variant-to-gene""]",alignment:gria1|pgc|pgc.criterion.smrpsych|missingness|absent,missingness,pgc.criterion.smrpsych,prioritization_criterion,pgc,glutamatergic_prioritized_genes,"[""channel:missingness"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:smrpsych"", ""alignment_status:id-consistent"", ""missingness_kind:source-absent""]",pgc:glutamatergic-prioritized-genes,,,,"[""pgc:glutamatergic-prioritized-genes""]",[],,source_absent,"{""expected_source"": ""pgc"", ""reason"": ""source_absent""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:variant-to-gene""]",alignment:gria1|pgc|pgc.prioritised|missingness|absent,missingness,pgc.prioritised,prioritization_summary,pgc,glutamatergic_prioritized_genes,"[""channel:missingness"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""alignment_status:id-consistent"", ""missingness_kind:source-absent""]",pgc:glutamatergic-prioritized-genes,,,,"[""pgc:glutamatergic-prioritized-genes""]",[],,source_absent,"{""expected_source"": ""pgc"", ""reason"": ""source_absent""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:variant-to-gene""]",alignment:gria1|pgc|pgc.priority_index_snp_count|missingness|absent,missingness,pgc.priority_index_snp_count,index_snp_summary,pgc,glutamatergic_prioritized_genes,"[""channel:missingness"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""alignment_status:id-consistent"", ""missingness_kind:source-absent""]",pgc:glutamatergic-prioritized-genes,,,,"[""pgc:glutamatergic-prioritized-genes""]",[],,source_absent,"{""expected_source"": ""pgc"", ""reason"": ""source_absent""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:variant-to-gene""]",alignment:gria1|pgc|pgc.priority_index_snps|missingness|absent,missingness,pgc.priority_index_snps,index_snp_summary,pgc,glutamatergic_prioritized_genes,"[""channel:missingness"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""alignment_status:id-consistent"", ""missingness_kind:source-absent""]",pgc:glutamatergic-prioritized-genes,,,,"[""pgc:glutamatergic-prioritized-genes""]",[],,source_absent,"{""expected_source"": ""pgc"", ""reason"": ""source_absent""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:clinical-translation""]",alignment:gria1|opentargets|opentargets.datatype.clinical|uncertainty|2,uncertainty,opentargets.datatype.clinical,datatype_score,opentargets,glutamatergic_baseline,"[""channel:uncertainty"", ""source:opentargets"", ""dataset:glutamatergic-baseline"", ""disease:mondo-0005090"", ""datatype:clinical"", ""alignment_status:id-consistent"", ""uncertainty_level:medium""]",opentargets:glutamatergic-baseline,2,ENSG00000155511,GRIA1,"[""opentargets:glutamatergic-baseline""]","[""2""]",0.5,medium,"{""reason"": ""single_source_alignment"", ""related_channel"": ""observed""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:disease-association""]",alignment:gria1|opentargets|opentargets.datatype.genetic-association|uncertainty|2,uncertainty,opentargets.datatype.genetic-association,datatype_score,opentargets,glutamatergic_baseline,"[""channel:uncertainty"", ""source:opentargets"", ""dataset:glutamatergic-baseline"", ""disease:mondo-0005090"", ""datatype:genetic-association"", ""alignment_status:id-consistent"", ""uncertainty_level:medium""]",opentargets:glutamatergic-baseline,2,ENSG00000155511,GRIA1,"[""opentargets:glutamatergic-baseline""]","[""2""]",0.5,medium,"{""reason"": ""single_source_alignment"", ""related_channel"": ""observed""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:disease-association""]",alignment:gria1|opentargets|opentargets.generic_platform_baseline|uncertainty|2,uncertainty,opentargets.generic_platform_baseline,association_score,opentargets,glutamatergic_baseline,"[""channel:uncertainty"", ""source:opentargets"", ""dataset:glutamatergic-baseline"", ""disease:mondo-0005090"", ""alignment_status:id-consistent"", ""uncertainty_level:medium""]",opentargets:glutamatergic-baseline,2,ENSG00000155511,GRIA1,"[""opentargets:glutamatergic-baseline""]","[""2""]",0.5,medium,"{""reason"": ""single_source_alignment"", ""related_channel"": ""observed""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:disease-association""]",alignment:gria1|pgc|pgc.common_variant_support|uncertainty|absent,uncertainty,pgc.common_variant_support,association_score,pgc,glutamatergic_prioritized_genes,"[""channel:uncertainty"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""alignment_status:id-consistent"", ""uncertainty_level:high""]",pgc:glutamatergic-prioritized-genes,,,,"[""pgc:glutamatergic-prioritized-genes""]",[],0.8,high,"{""missingness_kind"": ""source_absent"", ""reason"": ""source_absent_for_alignment"", ""related_channel"": ""missingness""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:variant-to-gene""]",alignment:gria1|pgc|pgc.criterion.finemap-priority-gene|uncertainty|absent,uncertainty,pgc.criterion.finemap-priority-gene,prioritization_criterion,pgc,glutamatergic_prioritized_genes,"[""channel:uncertainty"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:finemap-priority-gene"", ""alignment_status:id-consistent"", ""uncertainty_level:high""]",pgc:glutamatergic-prioritized-genes,,,,"[""pgc:glutamatergic-prioritized-genes""]",[],0.8,high,"{""missingness_kind"": ""source_absent"", ""reason"": ""source_absent_for_alignment"", ""related_channel"": ""missingness""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:variant-to-gene""]",alignment:gria1|pgc|pgc.criterion.sig-adultfusion|uncertainty|absent,uncertainty,pgc.criterion.sig-adultfusion,prioritization_criterion,pgc,glutamatergic_prioritized_genes,"[""channel:uncertainty"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:sig-adultfusion"", ""alignment_status:id-consistent"", ""uncertainty_level:high""]",pgc:glutamatergic-prioritized-genes,,,,"[""pgc:glutamatergic-prioritized-genes""]",[],0.8,high,"{""missingness_kind"": ""source_absent"", ""reason"": ""source_absent_for_alignment"", ""related_channel"": ""missingness""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:variant-to-gene""]",alignment:gria1|pgc|pgc.criterion.smr-priority-gene|uncertainty|absent,uncertainty,pgc.criterion.smr-priority-gene,prioritization_criterion,pgc,glutamatergic_prioritized_genes,"[""channel:uncertainty"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:smr-priority-gene"", ""alignment_status:id-consistent"", ""uncertainty_level:high""]",pgc:glutamatergic-prioritized-genes,,,,"[""pgc:glutamatergic-prioritized-genes""]",[],0.8,high,"{""missingness_kind"": ""source_absent"", ""reason"": ""source_absent_for_alignment"", ""related_channel"": ""missingness""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:variant-to-gene""]",alignment:gria1|pgc|pgc.criterion.smrpsych|uncertainty|absent,uncertainty,pgc.criterion.smrpsych,prioritization_criterion,pgc,glutamatergic_prioritized_genes,"[""channel:uncertainty"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:smrpsych"", ""alignment_status:id-consistent"", ""uncertainty_level:high""]",pgc:glutamatergic-prioritized-genes,,,,"[""pgc:glutamatergic-prioritized-genes""]",[],0.8,high,"{""missingness_kind"": ""source_absent"", ""reason"": ""source_absent_for_alignment"", ""related_channel"": ""missingness""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:variant-to-gene""]",alignment:gria1|pgc|pgc.prioritised|uncertainty|absent,uncertainty,pgc.prioritised,prioritization_summary,pgc,glutamatergic_prioritized_genes,"[""channel:uncertainty"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""alignment_status:id-consistent"", ""uncertainty_level:high""]",pgc:glutamatergic-prioritized-genes,,,,"[""pgc:glutamatergic-prioritized-genes""]",[],0.8,high,"{""missingness_kind"": ""source_absent"", ""reason"": ""source_absent_for_alignment"", ""related_channel"": ""missingness""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:variant-to-gene""]",alignment:gria1|pgc|pgc.priority_index_snp_count|uncertainty|absent,uncertainty,pgc.priority_index_snp_count,index_snp_summary,pgc,glutamatergic_prioritized_genes,"[""channel:uncertainty"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""alignment_status:id-consistent"", ""uncertainty_level:high""]",pgc:glutamatergic-prioritized-genes,,,,"[""pgc:glutamatergic-prioritized-genes""]",[],0.8,high,"{""missingness_kind"": ""source_absent"", ""reason"": ""source_absent_for_alignment"", ""related_channel"": ""missingness""}"
hub:gria1,alignment:gria1,GRIA1,"[""mechanistic_axis:variant-to-gene""]",alignment:gria1|pgc|pgc.priority_index_snps|uncertainty|absent,uncertainty,pgc.priority_index_snps,index_snp_summary,pgc,glutamatergic_prioritized_genes,"[""channel:uncertainty"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""alignment_status:id-consistent"", ""uncertainty_level:high""]",pgc:glutamatergic-prioritized-genes,,,,"[""pgc:glutamatergic-prioritized-genes""]",[],0.8,high,"{""missingness_kind"": ""source_absent"", ""reason"": ""source_absent_for_alignment"", ""related_channel"": ""missingness""}"
hub:grin2a,alignment:grin2a,GRIN2A,"[""mechanistic_axis:clinical-translation""]",alignment:grin2a|opentargets|opentargets.datatype.clinical|observed|1,observed,opentargets.datatype.clinical,datatype_score,opentargets,glutamatergic_baseline,"[""channel:observed"", ""source:opentargets"", ""dataset:glutamatergic-baseline"", ""disease:mondo-0005090"", ""datatype:clinical"", ""alignment_status:id-consistent""]",opentargets:glutamatergic-baseline,1,ENSG00000183454,GRIN2A,"[""opentargets:glutamatergic-baseline""]","[""1""]",0.6344623605437137,,
hub:grin2a,alignment:grin2a,GRIN2A,"[""mechanistic_axis:disease-association""]",alignment:grin2a|opentargets|opentargets.datatype.genetic-association|observed|1,observed,opentargets.datatype.genetic-association,datatype_score,opentargets,glutamatergic_baseline,"[""channel:observed"", ""source:opentargets"", ""dataset:glutamatergic-baseline"", ""disease:mondo-0005090"", ""datatype:genetic-association"", ""alignment_status:id-consistent""]",opentargets:glutamatergic-baseline,1,ENSG00000183454,GRIN2A,"[""opentargets:glutamatergic-baseline""]","[""1""]",0.6936562883163389,,
hub:grin2a,alignment:grin2a,GRIN2A,"[""mechanistic_axis:disease-association""]",alignment:grin2a|opentargets|opentargets.generic_platform_baseline|observed|1,observed,opentargets.generic_platform_baseline,association_score,opentargets,glutamatergic_baseline,"[""channel:observed"", ""source:opentargets"", ""dataset:glutamatergic-baseline"", ""disease:mondo-0005090"", ""alignment_status:id-consistent""]",opentargets:glutamatergic-baseline,1,ENSG00000183454,GRIN2A,"[""opentargets:glutamatergic-baseline""]","[""1""]",0.614054094449,,
hub:grin2a,alignment:grin2a,GRIN2A,"[""mechanistic_axis:disease-association""]",alignment:grin2a|pgc|pgc.common_variant_support|observed|1,observed,pgc.common_variant_support,association_score,pgc,glutamatergic_prioritized_genes,"[""channel:observed"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""alignment_status:id-consistent""]",pgc:glutamatergic-prioritized-genes,1,ENSG00000183454,GRIN2A,"[""pgc:glutamatergic-prioritized-genes""]","[""1""]",0.25,,
hub:grin2a,alignment:grin2a,GRIN2A,"[""mechanistic_axis:variant-to-gene""]",alignment:grin2a|pgc|pgc.criterion.finemap-priority-gene|observed|1,observed,pgc.criterion.finemap-priority-gene,prioritization_criterion,pgc,glutamatergic_prioritized_genes,"[""channel:observed"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:finemap-priority-gene"", ""alignment_status:id-consistent""]",pgc:glutamatergic-prioritized-genes,1,ENSG00000183454,GRIN2A,"[""pgc:glutamatergic-prioritized-genes""]","[""1""]",1,true,
hub:grin2a,alignment:grin2a,GRIN2A,"[""mechanistic_axis:variant-to-gene""]",alignment:grin2a|pgc|pgc.criterion.sig-adultfusion|observed|1,observed,pgc.criterion.sig-adultfusion,prioritization_criterion,pgc,glutamatergic_prioritized_genes,"[""channel:observed"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:sig-adultfusion"", ""alignment_status:id-consistent""]",pgc:glutamatergic-prioritized-genes,1,ENSG00000183454,GRIN2A,"[""pgc:glutamatergic-prioritized-genes""]","[""1""]",1,true,
hub:grin2a,alignment:grin2a,GRIN2A,"[""mechanistic_axis:variant-to-gene""]",alignment:grin2a|pgc|pgc.criterion.smr-priority-gene|observed|1,observed,pgc.criterion.smr-priority-gene,prioritization_criterion,pgc,glutamatergic_prioritized_genes,"[""channel:observed"", ""source:pgc"", ""dataset:glutamatergic-prioritized-genes"", ""study:pgc-scz2022"", ""criterion:smr-priority-gene"", ""alignment_status:id-consistent""]",pgc:glutamatergic-prioritized-genes,1,ENSG00000183454,GRIN2A,"[""pgc:glutamatergic-prioritized-genes""]","[""1""]",0,false,
